Rank,Article Number,Article Title,1st Author Name,Volume Number,Issue Number,Content Type,Online Publish Year,Print Publish Year,Open Access,DOI,PDF Downloads,HTML Views,Total Usage,Paper Citations To Date,Patent Citations To Date,Total Citations To Date,Author Keywords,IEEE Thesaurus Terms,URL
48,8750873,Energy Harvesting For Wearable Devices: A Review,Yung-Wey Chong,19,20,orig-research,2019,2019,N,10.1109/JSEN.2019.2925638,2273,2473,4746,104,0,104,,Batteries;Biomedical monitoring;Energy harvesting;Monitoring;Sensors;Solar energy;Temperature measurement,https://ieeexplore.ieee.org/document/8750873
50,9568879,Hall-Effect Current Sensors: Principles of Operation and Implementation Techniques,Marco Crescentini,22,11,orig-research,2021,2022,Y,10.1109/JSEN.2021.3119766,2699,1998,4697,21,0,21,,Current measurement;Magnetic hysteresis;Magnetic sensors;Perpendicular magnetic anisotropy;Sensor phenomena and characterization;Sensors;Voltage measurement,https://ieeexplore.ieee.org/document/9568879
51,9091804,"Design, Development and Characterization of Textile Stitch-Based Piezoresistive Sensors for Wearable Monitoring",Nauman Ali Choudhry,20,18,orig-research,2020,2020,N,10.1109/JSEN.2020.2994264,1684,3001,4685,37,0,37,,Biomedical monitoring;Monitoring;Sensor phenomena and characterization;Wearable sensors;Yarn,https://ieeexplore.ieee.org/document/9091804
54,9262858,Piezoelectric MEMS Resonators: A Review,Gayathri Pillai,21,11,orig-research,2020,2021,N,10.1109/JSEN.2020.3039052,2281,2204,4485,49,0,49,,Aluminum nitride;Couplings;III-V semiconductor materials;Micromechanical devices;Resonant frequency;Sensors;Zinc oxide,https://ieeexplore.ieee.org/document/9262858
55,10089400,Sensing and Machine Learning for Automotive Perception: A Review,Ashish Pandharipande,23,11,orig-research,2023,2023,N,10.1109/JSEN.2023.3262134,1956,2528,4484,1,0,1,,Automotive engineering;Cameras;Monitoring;Planning;Safety;Sensor systems;Sensors,https://ieeexplore.ieee.org/document/10089400
56,9316211,"Unmanned Aerial Vehicles in Smart Agriculture: Applications, Requirements, and Challenges",Praveen Kumar Reddy Maddikunta,21,16,orig-research,2021,2021,N,10.1109/JSEN.2021.3049471,2226,2253,4479,175,0,175,,Agriculture;Bluetooth;Intelligent sensors;Sensors;Temperature sensors;Unmanned aerial vehicles;Wireless sensor networks,https://ieeexplore.ieee.org/document/9316211
57,9301325,Potential Applications of Mobile and Wearable Devices for Psychological Support During the COVID-19 Pandemic: A Review,Kawisara Ueafuea,21,6,orig-research,2020,2021,N,10.1109/JSEN.2020.3046259,1728,2741,4469,39,0,39,,COVID-19;Mental health;Pandemics;Sensors;Sociology;Statistics;Wearable computers,https://ieeexplore.ieee.org/document/9301325
59,9238002,Organic Electrochemical Transistors as an Emerging Platform for Bio-Sensing Applications: A Review,Marios Sophocleous,21,4,orig-research,2020,2021,Y,10.1109/JSEN.2020.3033283,2435,2021,4456,22,0,22,,Biosensors;Electrodes;Ions;Logic gates;MOSFET,https://ieeexplore.ieee.org/document/9238002
60,8453829,Tactile Sensors for Friction Estimation and Incipient Slip Detection?Toward Dexterous Robotic Manipulation: A Review,Wei Chen,18,22,orig-research,2018,2018,N,10.1109/JSEN.2018.2868340,2272,2182,4454,114,0,114,,Force;Friction;Skin;Tactile sensors,https://ieeexplore.ieee.org/document/8453829
61,8886491,Recent Developments of Amorphous Selenium-Based X-Ray Detectors: A Review,Heyuan Huang,20,4,orig-research,2019,2020,Y,10.1109/JSEN.2019.2950319,2060,2391,4451,48,0,48,,Dark current;Detectors;Electric fields;Electrodes;Photoconducting materials;X-ray imaging,https://ieeexplore.ieee.org/document/8886491
62,9082808,PP-Net: A Deep Learning Framework for PPG-Based Blood Pressure and Heart Rate Estimation,Madhuri Panwar,20,17,orig-research,2020,2020,N,10.1109/JSEN.2020.2990864,1955,2475,4430,88,0,88,,Biomedical monitoring;Deep learning;Estimation;Feature extraction;Heart rate;Monitoring;Sensors,https://ieeexplore.ieee.org/document/9082808
63,8501960,A New Automated Signal Quality-Aware ECG Beat Classification Method for Unsupervised ECG Diagnosis Environments,Udit Satija,19,1,orig-research,2018,2019,N,10.1109/JSEN.2018.2877055,2045,2369,4414,66,0,66,,Databases;Discrete wavelet transforms;Electrocardiography;Feature extraction;Noise measurement;Quality assessment;Wavelet analysis,https://ieeexplore.ieee.org/document/8501960
64,8246577,Optimal Foot Location for Placing Wearable IMU Sensors and Automatic Feature Extraction for Gait Analysis,Arif Reza Anwary,18,6,orig-research,2018,2018,N,10.1109/JSEN.2017.2786587,1959,2438,4397,102,0,102,,Accelerometers;Feature extraction;Foot;Gyroscopes;Smart phones;Wearable sensors,https://ieeexplore.ieee.org/document/8246577
68,8610109,Hand-Gesture Recognition Using Two-Antenna Doppler Radar With Deep Convolutional Neural Networks,Sruthy Skaria,19,8,orig-research,2019,2019,N,10.1109/JSEN.2019.2892073,2190,2160,4350,162,0,162,,Doppler effect;Doppler radar;Gesture recognition;Receiving antennas;Sensors;Spectrogram,https://ieeexplore.ieee.org/document/8610109
69,8385125,Smart Textile Using Hetero-Core Optical Fiber for Heartbeat and Respiration Monitoring,Yuya Koyama,18,15,orig-research,2018,2018,Y,10.1109/JSEN.2018.2847333,1839,2494,4333,71,0,71,,Adaptive optics;Intelligent sensors;Optical device fabrication;Optical sensors;Textiles,https://ieeexplore.ieee.org/document/8385125
72,9235582,"A Review on Soft Sensors for Monitoring, Control, and Optimization of Industrial Processes",Yuchen Jiang,21,11,orig-research,2020,2021,N,10.1109/JSEN.2020.3033153,2057,2241,4298,178,0,178,,Control systems;Monitoring;Optimization;Predictive models;Process control;Sensor systems,https://ieeexplore.ieee.org/document/9235582
74,9337931,Multifunctional Electronic Skin With a Stack of Temperature and Pressure Sensor Arrays,Yogeenth Kumaresan,21,23,orig-research,2021,2021,Y,10.1109/JSEN.2021.3055458,2263,1957,4220,54,0,54,,Capacitive sensors;Pressure sensors;Robot sensing systems;Sensor arrays;Sensor phenomena and characterization;Sensors;Temperature sensors,https://ieeexplore.ieee.org/document/9337931
75,8735760,"Sensing, Controlling, and IoT Infrastructure in Smart Building: A Review",Anurag Verma,19,20,orig-research,2019,2019,N,10.1109/JSEN.2019.2922409,2065,2154,4219,118,0,118,,Intelligent sensors;Internet of Things;Protocols;Security;Smart buildings,https://ieeexplore.ieee.org/document/8735760
77,8488578,"Onboard Condition Monitoring Sensors, Systems and Techniques for Freight Railway Vehicles: A Review",Esteban Bernal,19,1,orig-research,2018,2019,N,10.1109/JSEN.2018.2875160,1927,2253,4180,95,0,95,,Batteries;Condition monitoring;Monitoring;Rail transportation;Railway accidents;Sensors,https://ieeexplore.ieee.org/document/8488578
82,8335312,Acoustic Sensing From a Multi-Rotor Drone,Lin Wang,18,11,orig-research,2018,2018,Y,10.1109/JSEN.2018.2825879,2688,1368,4056,45,0,45,,Acoustics;Direction-of-arrival estimation;Microphone arrays;Sensor arrays;Time-frequency analysis,https://ieeexplore.ieee.org/document/8335312
86,8703820,"Human Target Detection, Tracking, and Classification Using 24-GHz FMCW Radar",Christoph Will,19,17,orig-research,2019,2019,N,10.1109/JSEN.2019.2914365,2086,1917,4003,74,0,74,,Radar detection;Radar tracking;Sensors;Signal processing algorithms;Target tracking,https://ieeexplore.ieee.org/document/8703820
87,9348922,Millimeter Wave Sensing: A Review of Application Pipelines and Building Blocks,Bram van Berlo,21,9,orig-research,2021,2021,Y,10.1109/JSEN.2021.3057450,2139,1853,3992,19,0,19,,Analytical models;Data models;Millimeter wave communication;Millimeter wave measurements;Millimeter wave radar;Pipelines;Sensors,https://ieeexplore.ieee.org/document/9348922
89,9186156,Accident Detection System for Bicycle Riders,Fatemehsadat Tabei,21,2,orig-research,2020,2021,N,10.1109/JSEN.2020.3021652,1722,2225,3947,13,0,13,,Accidents;Bicycles;Hardware;Intelligent sensors;Magnetic sensors;Pins,https://ieeexplore.ieee.org/document/9186156
90,8945233,Consumer Grade EEG Measuring Sensors as Research Tools: A Review,Phattarapong Sawangjai,20,8,orig-research,2019,2020,N,10.1109/JSEN.2019.2962874,1848,2092,3940,135,0,135,,Cognition;Education;Electrodes;Electroencephalography;Performance evaluation;Sensors;Tools,https://ieeexplore.ieee.org/document/8945233
91,8824123,Data-Driven Distributed Optical Vibration Sensors: A Review,Li-Yang Shao,20,12,orig-research,2019,2020,Y,10.1109/JSEN.2019.2939486,2046,1857,3903,34,0,34,,Backscatter;Optical fiber sensors;Optical fibers;Signal to noise ratio;Vibrations,https://ieeexplore.ieee.org/document/8824123
92,8918230,Low Power CMOS Image Sensors Using Two Step Single Slope ADC With Bandwidth-Limited Comparators & Voltage Range Extended Ramp Generator for Battery-Limited Application,Himchan Park,20,6,orig-research,2019,2020,N,10.1109/JSEN.2019.2957043,1877,1991,3868,29,0,29,,Bandwidth;CMOS image sensors;Clocks;Generators;Latches;Power demand;Sensors,https://ieeexplore.ieee.org/document/8918230
95,8293771,Sensor Applications and Physiological Features in Drivers? Drowsiness Detection: A Review,Anuva Chowdhury,18,8,orig-research,2018,2018,N,10.1109/JSEN.2018.2807245,1808,1950,3758,102,0,102,,Biomedical monitoring;Fatigue;Roads;Sensor systems;Sleep;Vehicles,https://ieeexplore.ieee.org/document/8293771
96,8353455,Lane Detection and Classification for Forward Collision Warning System Based on Stereo Vision,Wenjie Song,18,12,orig-research,2018,2018,N,10.1109/JSEN.2018.2832291,1883,1844,3727,88,0,88,,Automobiles;Cameras;Image segmentation;Laser radar;Roads;Sensors;Stereo vision,https://ieeexplore.ieee.org/document/8353455
98,8795541,Utilizing Blockchain to Overcome Cyber Security Concerns in the Internet of Things: A Review,Bandar Alotaibi,19,23,orig-research,2019,2019,N,10.1109/JSEN.2019.2935035,1800,1894,3694,61,0,61,,Blockchain;Computer crime;Internet of Things;Protocols;Radiofrequency identification,https://ieeexplore.ieee.org/document/8795541
99,9083948,mm-Pose: Real-Time Human Skeletal Posture Estimation Using mmWave Radars and CNNs,Arindam Sengupta,20,17,orig-research,2020,2020,N,10.1109/JSEN.2020.2991741,1760,1916,3676,103,0,103,,Chirp;Estimation;Radar tracking;Real-time systems;Sensors;Skeleton,https://ieeexplore.ieee.org/document/9083948
101,10061378,An Autonomous Underwater Vehicle Simulation With Fuzzy Sensor Fusion for Pipeline Inspection,I-Chen Sang,23,8,orig-research,2023,2023,Y,10.1109/JSEN.2023.3250721,1057,2594,3651,0,0,0,,Cameras;Inspection;Navigation;Pipelines;Sensors;Sonar;Sonar navigation,https://ieeexplore.ieee.org/document/10061378
104,8907869,Low-Cost Diaper Wetness Detection Using Hydrogel-Based RFID Tags,Pankhuri Sen,20,6,orig-research,2019,2020,N,10.1109/JSEN.2019.2954746,1514,2100,3614,31,0,31,,Antennas;Moisture;Radiofrequency identification;Sensor phenomena and characterization;Sensor systems;Temperature sensors,https://ieeexplore.ieee.org/document/8907869
105,9144227,Intelligent Calibration and Virtual Sensing for Integrated Low-Cost Air Quality Sensors,Martha Arbayani Zaidan,20,22,orig-research,2020,2020,Y,10.1109/JSEN.2020.3010316,1628,1979,3607,54,0,54,,Air pollution;Calibration;Instruments;Intelligent sensors;Pollution measurement,https://ieeexplore.ieee.org/document/9144227
106,9336010,False-Alarm-Controllable Radar Detection for Marine Target Based on Multi Features Fusion via CNNs,Xiaolong Chen,21,7,orig-research,2021,2021,Y,10.1109/JSEN.2021.3054744,1810,1793,3603,50,0,50,,Clutter;Convolution;Feature extraction;Object detection;Radar;Radar detection;Radar imaging,https://ieeexplore.ieee.org/document/9336010
110,9264255,A Review of Single-Photon Avalanche Diode Time-of-Flight Imaging Sensor Arrays,Fran�ois Piron,21,11,orig-research,2020,2021,N,10.1109/JSEN.2020.3039362,1916,1639,3555,35,0,35,,Photonics;Sensor arrays;Sensors;Single-photon avalanche diodes;Smart pixels;Three-dimensional displays;Timing,https://ieeexplore.ieee.org/document/9264255
111,9360639,Face Mask Assistant: Detection of Face Mask Service Stage Based on Mobile Phone,Yuzhen Chen,21,9,orig-research,2021,2021,N,10.1109/JSEN.2021.3061178,1281,2262,3543,34,0,34,,COVID-19;Faces;Feature extraction;Microscopy;Mobile handsets;Surgery;Testing,https://ieeexplore.ieee.org/document/9360639
113,8571291,Hydrogen Sulfide (H2S) Gas Sensor: A Review,Fajr I. M. Ali,19,7,orig-research,2018,2019,N,10.1109/JSEN.2018.2886131,1609,1911,3520,87,0,87,,Electrolytes;Gas detectors;Hydrogen;Optical fiber sensors;Temperature sensors,https://ieeexplore.ieee.org/document/8571291
114,9858635,Toward a Bio-Inspired Acoustic Sensor: Achroia grisella?s Ear,Lara D�az-Garc�a,22,18,orig-research,2022,2022,N,10.1109/JSEN.2022.3197841,1089,2397,3486,1,0,1,,Auditory system;Computational modeling;Ear;Insects;Mathematical models;Resins;Three-dimensional displays,https://ieeexplore.ieee.org/document/9858635
116,8750861,Cooperative Communications With Relay Selection Based on Deep Reinforcement Learning in Wireless Sensor Networks,Yuhan Su,19,20,orig-research,2019,2019,N,10.1109/JSEN.2019.2925719,1851,1579,3430,102,0,102,,Ad hoc networks;Cooperative communication;Reinforcement learning;Relays;Sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/8750861
117,8933427,Comprehensive Drowsiness Level Detection Model Combining Multimodal Information,Mika Sunagawa,20,7,orig-research,2019,2020,Y,10.1109/JSEN.2019.2960158,1590,1812,3402,37,0,37,,Adaptation models;Frequency conversion;Indexes;Physiology;Sensors;Time-frequency analysis;Vehicles,https://ieeexplore.ieee.org/document/8933427
120,8861371,Bi-LSTM Network for Multimodal Continuous Human Activity Recognition and Fall Detection,Haobo Li,20,3,orig-research,2019,2020,N,10.1109/JSEN.2019.2946095,1723,1653,3376,110,0,110,,Doppler radar;Feature extraction;Magnetic sensors;Radar imaging;Wearable sensors,https://ieeexplore.ieee.org/document/8861371
124,8642888,Convolutional Neural Network Based Approach Towards Motor Imagery Tasks EEG Signals Classification,Shalu Chaudhary,19,12,orig-research,2019,2019,N,10.1109/JSEN.2019.2899645,1605,1703,3308,125,0,125,,Continuous wavelet transforms;Electroencephalography;Feature extraction;Support vector machines;Task analysis;Time-frequency analysis,https://ieeexplore.ieee.org/document/8642888
125,9624946,Non-Dispersive Infrared Gas Sensing Technology: A Review,Ravindra Kumar Jha,22,1,orig-research,2021,2022,N,10.1109/JSEN.2021.3130034,1487,1808,3295,30,0,30,,Absorption;Detectors;Gas detectors;Micromechanical devices;Optical filters;Optical sensors;Sensors,https://ieeexplore.ieee.org/document/9624946
128,9252181,Nanomaterials-Based Biosensors for COVID-19 Detection?A Review,Sakshi Sharma,21,5,orig-research,2020,2021,N,10.1109/JSEN.2020.3036748,1398,1853,3251,21,0,21,,Biosensors;Carbon;Electrodes;Graphene;Optical sensors;Sensitivity;Sensors,https://ieeexplore.ieee.org/document/9252181
129,8546787,Cross-Subject Emotion Recognition Using Flexible Analytic Wavelet Transform From EEG Signals,Vipin Gupta,19,6,orig-research,2018,2019,N,10.1109/JSEN.2018.2883497,1593,1650,3243,177,0,177,,Databases;Electroencephalography;Emotion recognition;Feature extraction;Sensors;Support vector machines;Transforms,https://ieeexplore.ieee.org/document/8546787
130,9064533,Fault Diagnosis for Electrical Systems and Power Networks: A Review,Cynthia M. Furse,21,2,orig-research,2020,2021,N,10.1109/JSEN.2020.2987321,1731,1509,3240,91,0,91,,Current measurement;Fault location;Reflectometry;Sensors;Transmission line measurements;Voltage measurement;Wiring,https://ieeexplore.ieee.org/document/9064533
134,8723386,Sensors and Systems for Wearable Environmental Monitoring Toward IoT-Enabled Applications: A Review,Md Abdulla Al Mamun,19,18,orig-research,2019,2019,N,10.1109/JSEN.2019.2919352,1588,1620,3208,78,0,78,,Atmospheric measurements;Biomedical monitoring;Environmental monitoring;Pollution;Temperature sensors,https://ieeexplore.ieee.org/document/8723386
136,8423620,A uW Backscatter-Morse-Leaf Sensor for Low-Power Agricultural Wireless Sensor Networks,Spyridon Nektarios Daskalakis,18,19,orig-research,2018,2018,N,10.1109/JSEN.2018.2861431,1744,1454,3198,85,0,85,,Agriculture;Backscatter;Frequency modulation;Temperature measurement;Temperature sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/8423620
137,9502599,A Smart Sterilization Robot System With Chlorine Dioxide for Spray Disinfection,Yu-Lin Zhao,21,19,orig-research,2021,2021,Y,10.1109/JSEN.2021.3101593,1688,1508,3196,15,0,15,,COVID-19;Chemicals;Hospitals;Microorganisms;Robot sensing systems;Robots;Sensors,https://ieeexplore.ieee.org/document/9502599
138,8425967,SERF Atomic Magnetometer?Recent Advances and Applications: A Review,Jundi Li,18,20,orig-research,2018,2018,N,10.1109/JSEN.2018.2863707,1581,1610,3191,50,0,50,,Atom optics;Atomic measurements;Magnetic noise;Magnetic resonance imaging;Magnetic shielding;Magnetometers;Superconducting magnets,https://ieeexplore.ieee.org/document/8425967
140,9439493,Off-Line Evaluation of Indoor Positioning Systems in Different Scenarios: The Experiences From IPIN 2020 Competition,Francesco Potort�,22,6,orig-research,2021,2022,Y,10.1109/JSEN.2021.3083149,1755,1403,3158,27,0,27,,Indoor navigation;Received signal strength indicator;Recurrent neural networks;Satellite broadcasting;Sensor phenomena and characterization;Standards;Testing,https://ieeexplore.ieee.org/document/9439493
146,9745049,Vibration-Based Fault Detection in Drone Using Artificial Intelligence,Mohamad Hazwan Mohd Ghazali,22,9,orig-research,2022,2022,Y,10.1109/JSEN.2022.3163401,1530,1559,3089,11,0,11,,Artificial intelligence;Drones;Fault detection;Propellers;Real-time systems;Sensors;Vibrations,https://ieeexplore.ieee.org/document/9745049
147,8469140,Potassium Ion Selective Electrode Using Polyaniline and Matrix-Supported Ion-Selective PVC Membrane,Thuy Nguyen Thanh Tran,18,22,orig-research,2018,2018,Y,10.1109/JSEN.2018.2871001,1672,1409,3081,17,0,17,,Biomembranes;Electric potential;Electrodes;Ions;Polymers;Potassium;Sensors,https://ieeexplore.ieee.org/document/8469140
